club_name	brand_model	club_type	total_shots	avg_carry	max_carry	min_carry	carry_consistency	avg_total	avg_lateral_miss	avg_ball_speed	avg_club_speed	avg_smash_factor	max_smash_factor	avg_launch_angle	avg_launch_direction	avg_apex	avg_spin_rate	avg_backspin	avg_sidespin	avg_spin_axis	avg_attack_angle	avg_club_path	avg_club_face	avg_face_to_path	avg_tempo	avg_backswing_ms	avg_downswing_ms	avg_carry_deviation_angle	avg_total_deviation	measured_shots	estimated_shots	carry_vs_ideal	spin_vs_ideal	launch_vs_ideal	attack_vs_ideal	ideal_carry_distance	ideal_launch_angle	ideal_spin_rate	ideal_attack_angle	ideal_club_speed
Driver	Callaway-Epic Flash	Wood	228	173.1	239.8	8	38	195.8	-5.5	126.6	95.4	1.326	1.558	10.9	-2.2	18.3	3284	3181	-2	-2.2	1.7	-2.4	-2.3	0.1	6.39	950	152	-2.2	-7.6	107	121	-66.9	784	-0.1	-1.3	240	11	2500	3	95
4 Hybrid	Tommy Armour	Hybrid	21	125.1	152.2	67	23.3	139.3	6.2	103.1	83.3	1.245	1.577	12.3	0.7	14.9	5230	5144	-366	3.1	-0.4	-1.7	3.6	5.6	5.77	787	130	2.4	7.3	10	11	-69.9	730	-1.7	-1.4	195	14	4500	1	86
3 Hybrid	Tommy Armour	Hybrid	97	124.1	187.2	4	39.9	146.4	6.3	105.8	86.4	1.222	1.437	10.4	0.6	12.3	3913	3809	-268	2.9	0.7	-3.2	1.3	4.4	6.29	893	142	2.2	6.4	58	39	-60.9	-887	-3.6	0.7	185	14	4800	0	84
5 Iron	Callaway-Big Bertha	Iron	114	134	182.3	23.9	29.5	154	-1	106.1	85.3	1.244	1.453	13.3	-0.3	15.6	3878	3738	-152	-0.1	2.3	-3.4	0.1	3.5	5.95	905	153	0	-1.6	81	33	-46	-1622	-3.7	3.3	180	17	5500	-1	82
6 Iron	Callaway-Big Bertha	Iron	39	133.5	179.2	34.5	34	148.5	-0.2	101.8	84.7	1.211	1.418	15.2	-0.8	19	4297	4237	-146	-0.6	2.9	-3.3	-0.5	2.8	4.99	820	151	0.2	-0.3	27	12	-33.5	-1703	-2.8	4.9	167	18	6000	-2	79
7 Iron	Callaway-Big Bertha	Iron	87	132.4	198.8	5.9	41.8	146.6	0.5	104.1	82	1.236	1.488	16.1	-0.3	19.8	4405	4275	-66	-0.4	1	-2.4	0.1	2.5	5.37	822	151	-0.1	-0.1	55	32	-22.6	-2095	-2.9	4	155	19	6500	-3	76
8 Iron	Callaway-Big Bertha	Iron	25	113.7	144.8	29.2	26.4	126.3	0	96	82.8	1.16	1.347	18.7	0.9	20.5	5721	5592	80	-1.1	2.3	-3.6	1.6	5.2	5.48	847	154	0.3	-0	16	9	-28.3	-1279	-1.3	6.3	142	20	7000	-4	72
9 Iron	Callaway-Big Bertha	Iron	40	98.6	138.6	26.9	26.2	109.2	-3.4	82.1	76.4	1.073	1.284	22.9	-0.7	17.8	4097	3953	-262	3.9	1.8	-4.7	-1	3.7	4.8	793	163	-0.6	-3.1	9	31	-29.4	-3403	1.9	6.8	128	21	7500	-5	68
Pitching Wedge	Callaway-Big Bertha	Wedge	18	107.6	188.5	34.9	31.5	116.7	-1.5	85.7	75.5	1.103	1.325	28.4	-0.4	24.8	4230	4141	223	-3.9	2	-4.8	0.2	5	4.46	768	172	-1.6	-1.9	7	11	-0.4	-4270	5.4	7	108	23	8500	-5	63
Sand Wedge	Callaway-Big Bertha	Wedge	18	72.3	103.1	44.5	16.9	79.2	-4	65.3	70	0.941	1.382	39.4	-3.5	20.5	3150	3074	-271	6.1	2.9	-6.7	-1.3	5.4	4.37	742	173	-2.5	-4.1	0	18	-12.7	-6350	13.4	8.9	85	26	9500	-6	55
